Empresa;Activos;Ingresos;Utilidad Neta
Agricola el retiro s.a;10.498.390;7.560.329;3.273
No encontrado;10.498.390;7.560.329;3.273
No encontrado;No encontrado;No encontrado;No encontrado
Constructora lomalinda ltda;5.582.821;6.954.229;121.242
No encontrado;5.582.821;6.954.229;121.242
Comercializadora autoindustrialg y ch limitada;5.470.188;5.576.799;346.320
No encontrado;5.470.188;5.576.799;346.320
Colserpetrol sas;26.770.295;3.865.330;635.212
No encontrado;26.770.295;3.865.330;635.212
Construcciones coramar sas;16.000.289;3.975.511;242.956
No encontrado;16.000.289;3.975.511;242.956
Iinspeq ingenieria ltda;25.972.762;15.969.730;3.591.116
No encontrado;25.972.762;15.969.730;3.591.116
Kanyo s.a.s.;598.765;354.225;32.255
No encontrado;598.765;354.225;32.255
Compañia iberoamericana de plasticos s.a.s;361.058.987;214.677.665;4.575.983
No encontrado;361.058.987;214.677.665;4.575.983
Asesorias servicios y negocios sas;5.845.292;6.891.111;249.164
No encontrado;5.845.292;6.891.111;249.164
Elite facility management sas;36.645.200;71.415.760;1.165.759
No encontrado;36.645.200;71.415.760;1.165.759
Madera modular arquitectonica atemka sas;6.062.382;7.345.393;347.994
No encontrado;6.062.382;7.345.393;347.994
No encontrado;No encontrado;No encontrado;No encontrado
Hernandez bohmer construcciones sas;958.276;0;429.114
No encontrado;958.276;0;429.114
Frutisima ltda;10.420.168;12.185.154;2.277.025
No encontrado;10.420.168;12.185.154;2.277.025
Ingenieria especializada s.a.;28.552.127;47.623.062;2.443.692
No encontrado;28.552.127;47.623.062;2.443.692
Ingenieria grafica sas;17.071.679;20.044.300;349.970
No encontrado;17.071.679;20.044.300;349.970
Aseos la perfeccion sas;10.739.444;34.837.826;1.545.015
No encontrado;10.739.444;34.837.826;1.545.015
Propiedades exclusivas sca;7.563.792;827.757;88.212
No encontrado;7.563.792;827.757;88.212
Barajas constructora sa;17.403.510;0;368.502
No encontrado;17.403.510;0;368.502
Oleoducto de colombia s.a.;845.948.214;435.454.538;171.482.868
No encontrado;845.948.214;435.454.538;171.482.868
Agricola acevedo sas;6.822.279;1.511.545;231.610
No encontrado;6.822.279;1.511.545;231.610
Inversiones lefasa jabba sas;5.899.564;350.679;25.126
No encontrado;5.899.564;350.679;25.126
No encontrado;No encontrado;No encontrado;No encontrado
Comercializadora henaygo s.a;4.966.917;18.532.235;378.679
No encontrado;4.966.917;18.532.235;378.679
Fantur sas;3.708.838;3.584.883;219.924
No encontrado;3.708.838;3.584.883;219.924
Ci expordent sas;5.780.699;0;3.188.444
No encontrado;5.780.699;0;3.188.444
Hacienda el cerrito ltda;4.312.373;6.050;187.488
No encontrado;4.312.373;6.050;187.488
Jomis sas;10.164.836;10.350.405;799.225
No encontrado;10.164.836;10.350.405;799.225
Artemisa sas bic;2.995.869;13.449.857;13.413
No encontrado;2.995.869;13.449.857;13.413
Colombiana de inversiones estrategicas ltda;2.303.751;250.811;627.408
No encontrado;2.303.751;250.811;627.408
Intertek colombia sa;78.291.782;36.097.438;3.894.298
No encontrado;78.291.782;36.097.438;3.894.298
Agropecuaria el mango sas;23.920.909;4.459.620;1.939.770
No encontrado;23.920.909;4.459.620;1.939.770
Distribuidora nacional de vidrioss.a.s.;4.017.481;1.375.080;7.687
No encontrado;4.017.481;1.375.080;7.687
No encontrado;No encontrado;No encontrado;No encontrado
Juri constructores ltda;4.342.459;2.676.334;356.297
No encontrado;4.342.459;2.676.334;356.297
Ibs zona franca sa;10.820.920;17.489.604;304.390
No encontrado;10.820.920;17.489.604;304.390
Comodin sas;685.228.466;900.635.575;733.590
No encontrado;685.228.466;900.635.575;733.590
Antonio j restrepo s & cia sas;7.643.279;1.353.113;2.106.617
No encontrado;7.643.279;1.353.113;2.106.617
Laboratorios m y n y cia ltda;9.552.686;12.243.767;1.055.245
No encontrado;9.552.686;12.243.767;1.055.245
Comercializadora estrella ltda;3.460.311;4.118.922;45.981
No encontrado;3.460.311;4.118.922;45.981
Inversiones ger estrada y cia s en c;4.769.634;170.058;3.384.035
No encontrado;4.769.634;170.058;3.384.035
K-listo productos alimenticios sas;25.779.610;34.739.294;1.265.916
No encontrado;25.779.610;34.739.294;1.265.916
Multidiesel bogota s.a.s.;1.733.363;1.791.066;66.610
No encontrado;1.733.363;1.791.066;66.610
C.i silicar s.a.s;34.880.835;157.652.168;5.305.044
No encontrado;34.880.835;157.652.168;5.305.044
No encontrado;No encontrado;No encontrado;No encontrado
Maquite sa;44.320.523;122.025.646;2.739.954
No encontrado;44.320.523;122.025.646;2.739.954
Kakaraka sas;56.219.720;90.071.439;1.814.231
No encontrado;56.219.720;90.071.439;1.814.231
Agq colombia sas;13.926.433;20.617.566;682.914
No encontrado;13.926.433;20.617.566;682.914
Maiba sas;27.431.984;2.004.578;940.913
No encontrado;27.431.984;2.004.578;940.913
Compañia inversora colmena s.a;262.791.519;0;20.668.120
No encontrado;262.791.519;0;20.668.120
Empresa internacional de soluciones de energia electrica temporal s.a.s. en reorganizacion;50.768.622;44.231.242;2.940.994
No encontrado;50.768.622;44.231.242;2.940.994
Papeleria antioquia sas;6.278.373;4.775.783;55.540
No encontrado;6.278.373;4.775.783;55.540
Casa dental eduardo daza ltda.;48.021.206;29.402.569;2.046.108
No encontrado;48.021.206;29.402.569;2.046.108
Inversiones la tortuguita ltda;16.803.458;0;0
No encontrado;16.803.458;0;0
Ladrillera delta sas;6.980.358;11.006.720;360.601
No encontrado;6.980.358;11.006.720;360.601
No encontrado;No encontrado;No encontrado;No encontrado
Calizas del llano s.a en reorganización;16.138.642;6.286.652;482.063
No encontrado;16.138.642;6.286.652;482.063
Crayola y lapiz sas;39.755.981;35.887.779;848.606
No encontrado;39.755.981;35.887.779;848.606
Cummins de los andes s.a;193.414.388;228.100.423;7.549.080
No encontrado;193.414.388;228.100.423;7.549.080
Pentaproyectos s.a.;15.723.069;1.295.965;430.877
No encontrado;15.723.069;1.295.965;430.877
Sociedad constructora de proyectos sas;14.883.577;4.147.459;86.718
No encontrado;14.883.577;4.147.459;86.718
Construir sa;34.192.888;10.581.118;1.259.914
No encontrado;34.192.888;10.581.118;1.259.914
Selcomp ingenieria sas;25.567.988;29.662.355;200.702
No encontrado;25.567.988;29.662.355;200.702
Manser ingenieria sas;4.820.768;1.092.629;221.788
No encontrado;4.820.768;1.092.629;221.788
Lacteos jersey s.a.;3.180.545;2.908.365;486.510
No encontrado;3.180.545;2.908.365;486.510
Ingenieria y telematica g&c sas;36.716.923;23.323.868;4.720.774
No encontrado;36.716.923;23.323.868;4.720.774
No encontrado;No encontrado;No encontrado;No encontrado
Salazar salamanca sas;397.694.192;60.004.469;24.884.914
No encontrado;397.694.192;60.004.469;24.884.914
Alea herrajes s.a.s;5.357.189;8.765.982;45.506
No encontrado;5.357.189;8.765.982;45.506
Saet ltda;15.398.874;7.505.112;120.175
No encontrado;15.398.874;7.505.112;120.175
Mixer sas en reorganizacion abreviada;285.473;0;693.113
No encontrado;285.473;0;693.113
Parra antonio e hijos y cia s en c;5.774.887;1.286.319;69.529
No encontrado;5.774.887;1.286.319;69.529
Seatech international inc;474.280.034;629.123.654;16.128.787
No encontrado;474.280.034;629.123.654;16.128.787
Chamela sas;22.790.315;54.705.498;1.589.288
No encontrado;22.790.315;54.705.498;1.589.288
Colombiana de distribuciones mayoristas sas;7.131.591;15.161.099;110.632
No encontrado;7.131.591;15.161.099;110.632
Pescados frescos de colombia sas;8.985.105;16.037.995;653.872
No encontrado;8.985.105;16.037.995;653.872
Inversiones gbs s.a.s;68.981.772;1.423.356;453.416
No encontrado;68.981.772;1.423.356;453.416
No encontrado;No encontrado;No encontrado;No encontrado
Rugeles vera sas;7.094.972;420.118;151.769
No encontrado;7.094.972;420.118;151.769
Inversiones y construcciones donado sas;1.644.127;392.492;68.152
No encontrado;1.644.127;392.492;68.152
Kemizol sas;44.738.658;62.681.979;4.075.174
No encontrado;44.738.658;62.681.979;4.075.174
Compañia avicola y ganadera sanabria acevedo sas;13.217.445;3.698.398;1.268.274
No encontrado;13.217.445;3.698.398;1.268.274
Surtioriente sas;3.707.719;2.091.649;37.199
No encontrado;3.707.719;2.091.649;37.199
Unidades residenciales modernas sa;22.105.836;2.208.740;169.651
No encontrado;22.105.836;2.208.740;169.651
Espacios urbanos sas;18.920.924;55.099;6.973
No encontrado;18.920.924;55.099;6.973
Constructora fortaleza sas;12.599.824;1.195.205;501.668
No encontrado;12.599.824;1.195.205;501.668
Tecnologia para el tratamiento de aguas tecnoaguas s.a.s.;21.100.302;19.374.335;981.333
No encontrado;21.100.302;19.374.335;981.333
Agropecuaria los agapantos sas;42.300.211;0;269.851
No encontrado;42.300.211;0;269.851
No encontrado;No encontrado;No encontrado;No encontrado
Antea colombia sas en reorganizacion;10.662.286;7.175.391;1.510
No encontrado;10.662.286;7.175.391;1.510
Inversiones gabra sas;20.362.447;2.226.915;105.516
No encontrado;20.362.447;2.226.915;105.516
Maser ltda;1.726.261;2.253.944;29.483
No encontrado;1.726.261;2.253.944;29.483
Quimicapan ltda;2.861.863;123.944;87.607
No encontrado;2.861.863;123.944;87.607
Estacion de servicio montecarlos ltda;1.890.487;16.066.867;84.772
No encontrado;1.890.487;16.066.867;84.772
Industrias tratecni sas;28.894.190;5.530.969;709.120
No encontrado;28.894.190;5.530.969;709.120
Multivasos sas;8.938.059;13.389.900;767.199
No encontrado;8.938.059;13.389.900;767.199
Prointex s.a.s;7.040.839;8.424.859;148.323
No encontrado;7.040.839;8.424.859;148.323
Ofimarcas sas;5.631.798;18.026.583;1.165.898
No encontrado;5.631.798;18.026.583;1.165.898
Subatours sas;25.374.598;8.724.002;1.401.204
No encontrado;25.374.598;8.724.002;1.401.204
No encontrado;No encontrado;No encontrado;No encontrado
Descoco s.a.;5.696.321;2.197.114;185.794
No encontrado;5.696.321;2.197.114;185.794
Suelos ingenieria sas;24.304.532;5.488.144;396.696
No encontrado;24.304.532;5.488.144;396.696
Servitorno soldadura sas;3.780.309;1.928.724;114.478
No encontrado;3.780.309;1.928.724;114.478
Inversiones alfaro sas;18.955.190;15.427.161;144.295
No encontrado;18.955.190;15.427.161;144.295
Sinforoso robledo y cia s.a.s.;1.639.689;211.861;44.033
No encontrado;1.639.689;211.861;44.033
Gomez h y cia sas;17.606.596;1.202.513;348.164
No encontrado;17.606.596;1.202.513;348.164
A&a consultores sas;11.716.970;14.174.356;1.841.173
No encontrado;11.716.970;14.174.356;1.841.173
Fibras del sinu s,a;17.567.158;3.500.803;139.178
No encontrado;17.567.158;3.500.803;139.178
Inversiones chavela sas;9.329.610;2.900.937;216.109
No encontrado;9.329.610;2.900.937;216.109
Comercializadora internacional granada ltda;16.242.159;33.876.516;2.937.178
No encontrado;16.242.159;33.876.516;2.937.178
No encontrado;No encontrado;No encontrado;No encontrado
Corriente alterna sas;21.549.924;27.537.724;21.650
No encontrado;21.549.924;27.537.724;21.650
Contexto urbano sa;15.461.730;10.870.447;1.683.227
No encontrado;15.461.730;10.870.447;1.683.227
Cabletec sas;6.640.890;1.910.964;4.128
No encontrado;6.640.890;1.910.964;4.128
Gaviria barreneche y cia sas;1.907.097;0;51.368
No encontrado;1.907.097;0;51.368
Mario safi sas;34.411.636;3.846.357;1.023.569
No encontrado;34.411.636;3.846.357;1.023.569
Manrique raybaut & cia s en c;13.405.814;210.517;171.974
No encontrado;13.405.814;210.517;171.974
Caicedo sanz exportaciones limitada;4.814.260;438.396;49.765
No encontrado;4.814.260;438.396;49.765
Jordao sas;13.718.755;28.923.227;1.065.536
No encontrado;13.718.755;28.923.227;1.065.536
Distribuidora surtilima sas;103.151.630;281.000.124;8.013.688
No encontrado;103.151.630;281.000.124;8.013.688
Arcadia arquitecto sas;9.394.108;440.513;2.256.226
No encontrado;9.394.108;440.513;2.256.226
No encontrado;No encontrado;No encontrado;No encontrado
Serinco drilling s.a.;85.424.586;114.651.500;457.727
No encontrado;85.424.586;114.651.500;457.727
Lm instruments sa;74.373.712;86.748.712;10.551.858
No encontrado;74.373.712;86.748.712;10.551.858
De brigard ochoa y cia sas;36.721.580;0;2.935.313
No encontrado;36.721.580;0;2.935.313
Inversiones lider sas;7.256.996;217;1.989
No encontrado;7.256.996;217;1.989
Balum sa;22.967.387;17.210.419;359.696
No encontrado;22.967.387;17.210.419;359.696
Factores y mercadeo sa;114.977.632;153.184.045;14.140.009
No encontrado;114.977.632;153.184.045;14.140.009
Servicentro palmas s.a.s;2.814.175;9.061.990;244.222
No encontrado;2.814.175;9.061.990;244.222
Icmo sociedad por acciones simplificada;26.727.207;8.048.074;367.760
No encontrado;26.727.207;8.048.074;367.760
San trebol sas;117.629.986;136.402.195;22.763.108
No encontrado;117.629.986;136.402.195;22.763.108
More products s.a.s;104.742.200;111.247.926;12.203.799
No encontrado;104.742.200;111.247.926;12.203.799
No encontrado;No encontrado;No encontrado;No encontrado
