Empresa;Activos;Ingresos;Utilidad Neta
Felfer s.a.s.;2.055.029;817.373;536.119
No encontrado;2.055.029;817.373;536.119
Cartonajes troquelados sas;7.922.972;13.147.071;381.125
No encontrado;7.922.972;13.147.071;381.125
Presencia laboral sas;5.402.878;9.899.788;52.598
No encontrado;5.402.878;9.899.788;52.598
Agrindustrial san jose s.a;42.778.545;116.758.167;2.712.749
No encontrado;42.778.545;116.758.167;2.712.749
Divisa s.a.s;172.099.733;26.065.633;1.958.531
No encontrado;172.099.733;26.065.633;1.958.531
Payan urdaneta y cia ltda;1.707.859;0;145.337
No encontrado;1.707.859;0;145.337
Euroceramica sas;336.311.976;216.232.601;11.177.580
No encontrado;336.311.976;216.232.601;11.177.580
Topoequipos s a - en reorganización;2.246.612;309.943;10.810
No encontrado;2.246.612;309.943;10.810
Sbtalee de colombia sas;20.897.893;26.059.566;1.349.394
No encontrado;20.897.893;26.059.566;1.349.394
Campesa sa;64.721.721;113.830.591;264.804
No encontrado;64.721.721;113.830.591;264.804
No encontrado;No encontrado;No encontrado;No encontrado
Comercializadora de productos industriales comproind ltda;11.090.845;4.512.846;404.723
No encontrado;11.090.845;4.512.846;404.723
Dima colombia sas;39.894.276;14.381.810;911.162
No encontrado;39.894.276;14.381.810;911.162
Nexsys de colombia sas;562.873.342;1.007.353.745;73.360.951
No encontrado;562.873.342;1.007.353.745;73.360.951
Selecpacol ltda;4.097.285;8.360.362;419.496
No encontrado;4.097.285;8.360.362;419.496
Isopor sas en reorganizacion;2.308.404;7.552.131;37.616
No encontrado;2.308.404;7.552.131;37.616
Plantas electricas & soluciones energeticas sas;6.215.380;4.466.871;486.610
No encontrado;6.215.380;4.466.871;486.610
Constructora jg&a sas;13.514.282;9.194.726;278.700
No encontrado;13.514.282;9.194.726;278.700
Baterias capeon sas en reorganizacion;1.528.044;689.349;5.427
No encontrado;1.528.044;689.349;5.427
Harinera del centro sas;22.306.571;22.543.543;761.519
No encontrado;22.306.571;22.543.543;761.519
Ferromendez sas;3.859.777;3.095.198;94.106
No encontrado;3.859.777;3.095.198;94.106
No encontrado;No encontrado;No encontrado;No encontrado
Didacticos y libros didaclibros ltda;10.028.394;18.000.213;959.832
No encontrado;10.028.394;18.000.213;959.832
Semex colombia sas;5.962.413;10.790.230;328.781
No encontrado;5.962.413;10.790.230;328.781
Lirica sas;4.733.770;1.608.661;386
No encontrado;4.733.770;1.608.661;386
Cabrera salom y cia sas;2.665.755;704.392;185.668
No encontrado;2.665.755;704.392;185.668
Uno a aseo integrado.s.a;11.401.829;62.483.486;347.420
No encontrado;11.401.829;62.483.486;347.420
Fabrica de productos saysa s.a.s;7.971.318;8.414.231;180.015
No encontrado;7.971.318;8.414.231;180.015
Viromad limitada;682.199;1.790.249;136.812
No encontrado;682.199;1.790.249;136.812
Leccese&cia s en cs;8.936.353;916.986;7.260
No encontrado;8.936.353;916.986;7.260
Inmobiliaria piedra chiquita s.a.;409.654.691;0;144.573
No encontrado;409.654.691;0;144.573
